jma_code,name,name_kana,pref,lat,lon,elevation,type,obs_start,matched_sources,amedastable_code,obsdl_stid,kansoku_bitmask
a0701,川本,カワモト,島根,34.976667,132.491667,132,C,,amedastable+obsdl,68351,a0701,111201
s47755,浜田,ハマダ,島根,34.896667,132.07,19,B,,amedastable+obsdl,68376,s47755,111111
a0703,三隅,ミスミ,島根,34.795,131.948333,9,C,,amedastable+obsdl,68421,a0703,100000
a0704,益田,マスダ,島根,34.686667,131.85,22,C,,amedastable+obsdl,68462,a0704,111201
a0705,聖山,,島根,,,,,,obsdl_only,,a0705,100000
a0706,十種峯,,島根,,,,,,obsdl_only,,a0706,100000
a0707,津和野,ツワノ,島根,34.461667,131.77,165,C,,amedastable+obsdl,68516,a0707,111201
a0954,佐田,サダ,島根,35.221667,132.723333,100,C,,amedastable+obsdl,68206,a0954,100000
a1093,桜江,サクラエ,島根,34.953333,132.333333,32,C,,amedastable+obsdl,68346,a1093,100000
a1094,瑞穂,ミズホ,島根,43.736667,142.638333,289,C,,amedastable+obsdl,12457,a1094,111211
a1095,伯太,ハクタ,島根,35.35,133.273333,23,C,,amedastable+obsdl,68181,a1095,100000
a1175,波佐,ハザ,島根,34.78,132.196667,370,C,,amedastable+obsdl,68436,a1175,100000
a1176,匹見,ヒキミ,島根,34.571667,132.016667,259,C,,amedastable+obsdl,68501,a1176,100000
a1307,海士,アマ,島根,36.096667,133.096667,3,C,,amedastable+obsdl,68056,a1307,111201
a1310,出雲,イズモ,島根,35.331667,132.73,20,C,,amedastable+obsdl,68156,a1310,111201
a1320,赤名,アカナ,島根,35.001667,132.711667,444,C,,amedastable+obsdl,68306,a1320,111211
a1321,弥栄,ヤサカ,島根,34.776667,132.108333,380,C,,amedastable+obsdl,68431,a1321,111211
a1322,六日市,,島根,,,,,,obsdl_only,,a1322,111100
a1336,福光,フクミツ,島根,35.07,132.333333,8,C,,amedastable+obsdl,68286,a1336,100000
a1362,原山,,島根,,,,,,obsdl_only,,a1362,100000
a1473,西郷岬,サイゴウミサキ：隠岐空港,島根,36.178333,133.323333,80,C,,amedastable+obsdl,68046,a1473,111000
a1474,高津,タカツ：石見空港,島根,34.675,131.79,54,C,,amedastable+obsdl,68456,a1474,111000
a1592,吉賀,ヨシカ,島根,34.391667,131.893333,250,C,,amedastable+obsdl,68541,a1592,111201
s47742,境,サカイ,鳥取,35.543333,133.235,2,B,,amedastable+obsdl,69006,s47742,111111
s47746,鳥取,トットリ,鳥取,35.486667,134.238333,7,A,,amedastable+obsdl,69122,s47746,111111
s47744,米子,ヨナゴ,鳥取,35.433333,133.338333,7,B,,amedastable+obsdl,69076,s47744,111111
a0709,青谷,アオヤ,鳥取,35.52,133.996667,13,C,,amedastable+obsdl,69041,a0709,111201
a0711,岩井,イワイ,鳥取,35.558333,134.36,19,C,,amedastable+obsdl,69061,a0711,111201
a0713,倉吉,クラヨシ,鳥取,35.473333,133.838333,8,C,,amedastable+obsdl,69101,a0713,111211
a0714,菅俵原,,鳥取,,,,,,obsdl_only,,a0714,100000
a0715,霊石山,,鳥取,,,,,,obsdl_only,,a0715,100000
a0716,大山,オオヤマ,鳥取,36.608333,137.283333,128,C,,amedastable+obsdl,55156,a0716,100010
a0717,古峠山,,鳥取,,,,,,obsdl_only,,a0717,100000
a0718,智頭,チズ,鳥取,35.263333,134.24,182,C,,amedastable+obsdl,69246,a0718,111211
a0938,日南,,鳥取,,,,,,obsdl_only,,a0938,100000
a1177,関金,セキガネ,鳥取,35.378333,133.756667,150,C,,amedastable+obsdl,69161,a1177,100000
a1178,若桜,ワカサ,鳥取,35.333333,134.405,231,C,,amedastable+obsdl,69196,a1178,100000
a1231,塩津,シオツ,鳥取,35.523333,133.566667,15,C,,amedastable+obsdl,69021,a1231,111201
a1304,茶屋,チャヤ,鳥取,35.186667,133.23,490,C,,amedastable+obsdl,69271,a1304,111201
a1385,佐治,サジ,鳥取,35.328333,134.113333,210,C,,amedastable+obsdl,69181,a1385,100000
a1389,江尾,エビ,鳥取,35.288333,133.483333,155,C,,amedastable+obsdl,69222,a1389,100000
a1391,鹿野,シカノ,鳥取,35.413333,134.016667,210,C,,amedastable+obsdl,69111,a1391,100000
a1519,湖山,コヤマ：鳥取空港,鳥取,35.53,134.165,15,C,,amedastable+obsdl,69052,a1519,111000
a0719,大山寺,,徳島,,,,,,obsdl_only,,a0719,100000
a0720,池田,イケダ,徳島,42.92,143.458333,42,C,,amedastable+obsdl,20441,a0720,111201
